"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_gerdes","protein_abundance_pax"
"mutation_density",0,3.9089224350264e-26,0.986310407927061,0.127594756004866,1.57444418271606e-08,0.81843010994039,0.0893381206118052,0.711019915004034,0.768110749701359,0.0422739648772684
"avg_length",3.90892243502633e-26,0,0.817462114216061,0.37597943557391,5.67119754036763e-23,1.78601947228246e-86,5.12551057286061e-09,0.909925465763456,8.33281486259133e-17,7.34294188827383e-14
"binary_asymmetry",0.986310407927061,0.817462114216061,0,0.949118571489344,5.58356558944988e-10,0.00585987762407601,0.000112835568664365,0.410114111311455,5.12539008096859e-08,0.18860462905305
"relative_distance_from_oric",0.127594756004866,0.37597943557391,0.949118571489344,0,2.46117504679851e-06,4.93232956369701e-18,0.00035629736557446,0.13308724557306,1.0398087928129e-05,0.59597543997873
"transcript",1.57444418271605e-08,5.67119754036773e-23,5.58356558944997e-10,2.46117504679852e-06,0,0.00415440399517914,0.0105522621795771,0.281118375433853,2.76963198011798e-31,2e-308
"gc_content",0.81843010994039,1.78601947228258e-86,0.00585987762407601,4.93232956369685e-18,0.00415440399517911,0,6.68883688924569e-18,3.03930630064188e-08,0.186025787305362,0.102764597621096
"cpg_excess",0.0893381206118052,5.12551057286063e-09,0.000112835568664366,0.00035629736557446,0.0105522621795771,6.68883688924579e-18,0,0.0662254420670997,0.00154896021141006,2.75208522471069e-26
"relative_distance_oscillating_triangle",0.711019915004034,0.909925465763456,0.410114111311455,0.13308724557306,0.281118375433853,3.03930630064186e-08,0.0662254420670997,0,0.156790503418762,0.0540326910654646
"binary_gerdes",0.768110749701359,8.33281486259158e-17,5.12539008096859e-08,1.0398087928129e-05,2.76963198011803e-31,0.186025787305362,0.00154896021141006,0.156790503418762,0,6.81263168169066e-06
"protein_abundance_pax",0.0422739648772684,7.34294188827383e-14,0.188604629053051,0.595975439978729,2e-308,0.102764597621096,2.75208522471069e-26,0.0540326910654646,6.81263168169066e-06,0
