"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_pec","protein_abundance_lb"
"mutation_density",0,7.08246429990518e-26,0.711538053720645,0.199719398988535,1.40236747144723e-08,0.0745939209883797,0.0476403228794502,0.750905971074578,0.491932466978743,0.515193483618825
"avg_length",7.08246429990518e-26,0,0.783496078256004,0.00350938733923852,5.59505151676072e-14,1.55906742171035e-93,5.4436846265568e-16,0.343653687759604,0.0304816246334677,0.319814811527337
"binary_asymmetry",0.711538053720645,0.783496078256004,0,0.519484873056505,3.36916833203535e-15,0.00245400255722569,6.1923156262939e-06,0.740956229498551,2.34313760741132e-09,1.97499475954148e-10
"relative_distance_from_oric",0.199719398988535,0.00350938733923852,0.519484873056505,0,1.39084409190493e-07,1.06638036353803e-22,4.40398718630277e-07,0.031771952737513,3.60061866470408e-10,1.73785373332259e-05
"transcript",1.40236747144723e-08,5.59505151676072e-14,3.36916833203535e-15,1.39084409190493e-07,0,4.43147002060231e-06,3.37680895531201e-24,0.368401975093256,1.34703876082051e-97,2e-308
"gc_content",0.0745939209883797,1.55906742171035e-93,0.00245400255722569,1.06638036353803e-22,4.43147002060231e-06,0,2.91275785323586e-31,2.2073621477974e-09,2.18743921021399e-05,3.26076868660568e-11
"cpg_excess",0.0476403228794502,5.4436846265568e-16,6.1923156262939e-06,4.40398718630277e-07,3.37680895531201e-24,2.91275785323586e-31,0,0.0147658196170139,2.61674232099579e-15,4.55795542659428e-34
"relative_distance_oscillating_triangle",0.750905971074578,0.343653687759604,0.740956229498551,0.031771952737513,0.368401975093256,2.2073621477974e-09,0.0147658196170139,0,0.0352998309249039,0.391436943409185
"binary_pec",0.491932466978743,0.0304816246334677,2.34313760741132e-09,3.60061866470408e-10,1.34703876082051e-97,2.18743921021399e-05,2.61674232099579e-15,0.0352998309249039,0,2.0536912251206e-81
"protein_abundance_lb",0.515193483618825,0.319814811527337,1.97499475954148e-10,1.73785373332259e-05,2e-308,3.26076868660568e-11,4.55795542659428e-34,0.391436943409185,2.0536912251206e-81,0
